Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
344,5.30E-05,5.70E-05,8.63E-05,8.44E-05,4.25E-05,7.32E-05,0.000144784,6.16E-05,7.77E-05,7.86E-05,8.65E-05,7.28E-05,0.000106941,4.11E-05,6.08E-05,5.59E-05,5.78E-05,7.69E-05
345,0.000244689,0.000247016,0.00027708,0.000202182,0.00012326,0.000225044,0.000419806,0.000182038,0.000153543,0.000255275,0.00018293,0.000135462,0.000260637,0.000182896,0.00018213,0.000233623,0.000189875,0.000225685
346,0.001025888,0.000807471,0.000976375,0.000910741,0.00052589,0.001019777,0.001846158,0.000683402,0.000833917,0.000844919,0.000900621,0.000534131,0.001180005,0.000631184,0.001005002,0.00106267,0.000966948,0.000939817
347,1.17E-05,8.72E-06,8.23E-06,8.13E-06,1.52E-06,1.87E-05,2.68E-05,8.63E-06,7.25E-06,1.36E-05,1.29E-05,7.18E-06,1.39E-05,1.34E-06,1.27E-05,1.46E-05,1.38E-05,1.14E-05
348,2.72E-05,2.48E-05,3.84E-05,2.35E-05,3.87E-05,1.79E-05,4.45E-05,4.14E-06,2.51E-06,5.41E-06,3.62E-06,1.43E-05,3.00E-06,3.56E-06,2.34E-06,4.51E-06,4.67E-06,3.72E-06
349,2.71E-06,4.28E-06,4.45E-06,1.57E-06,4.20E-06,5.50E-06,1.19E-05,5.95E-06,5.45E-06,7.00E-06,8.40E-06,4.95E-06,8.22E-06,5.61E-06,5.66E-06,5.08E-06,7.45E-06,4.41E-06
350,0,0,0,0,0,0,8.43E-05,3.94E-05,4.56E-05,4.83E-05,2.86E-05,1.31E-05,3.81E-05,9.27E-06,0,4.50E-05,1.30E-05,5.79E-05
351,3.94E-05,2.93E-05,3.44E-05,4.33E-05,3.75E-05,3.62E-05,7.16E-05,3.63E-05,2.75E-05,4.30E-05,3.27E-05,2.37E-05,4.63E-05,2.72E-05,4.06E-05,3.71E-05,2.99E-05,2.53E-05
352,1.42E-05,2.62E-06,3.74E-06,1.54E-05,3.62E-06,4.37E-06,2.99E-05,7.39E-06,1.11E-05,2.93E-05,9.01E-06,1.98E-05,2.92E-05,7.70E-06,2.15E-05,1.63E-05,3.76E-06,7.21E-06
353,0.000274244,0.00018915,0.000186003,0.000255497,0.000155435,0.000202928,0.000369516,0.000143641,0.000119242,0.000189574,0.000138296,0.000105808,0.000236382,7.75E-05,0.000151118,0.000214586,0.000139629,0.000115572
354,4.06E-05,0.00011742,0.000102053,0,0.000177146,0.000208671,0,0.000119422,9.38E-05,9.09E-05,0.000106347,8.18E-05,7.15E-05,0.000123302,1.26E-06,0.000134508,7.17E-05,0.000139361
355,1.26E-05,1.59E-06,8.44E-07,3.46E-06,3.52E-06,1.04E-05,0,0,0,0,0,0,0,0,2.39E-05,0,0,0
356,0,0,0,0,0,0,9.79E-05,5.64E-05,4.60E-05,6.17E-05,5.53E-05,3.37E-05,6.92E-05,6.10E-06,0,5.76E-05,5.83E-05,5.86E-05
357,1.45E-06,0,0,0,8.88E-06,2.20E-05,3.29E-05,4.93E-05,0.000103358,3.96E-06,5.55E-05,6.21E-05,5.60E-06,6.05E-05,6.21E-05,5.10E-06,6.96E-05,5.39E-05
358,0,0.000265807,0,7.25E-05,0.002316558,2.22E-05,6.24E-05,0.000144469,1.41E-05,6.82E-05,0.000115844,2.07E-05,3.10E-05,9.80E-05,0,8.21E-05,0.000122393,1.39E-05
359,6.13E-05,5.13E-05,0.000118917,0.000266539,1.64E-05,7.89E-05,0.000124926,5.53E-05,3.84E-05,3.49E-05,4.52E-05,2.65E-05,4.04E-05,2.18E-05,2.70E-05,9.21E-05,1.60E-05,4.46E-05
360,0.003601168,0.003911169,0.003833857,0.001513882,0.002665388,0.005125548,0.002124528,0.003624763,0.003317992,0.004228519,0.004357871,0.002865392,0.001638055,0.003285332,0.003176618,0.002864282,0.001270264,0.003291188
361,4.68E-05,1.60E-05,4.08E-05,3.94E-05,1.40E-05,4.32E-05,6.49E-05,5.99E-06,3.07E-05,4.13E-05,0,1.92E-05,4.88E-05,1.08E-05,8.67E-05,4.37E-05,1.21E-05,4.06E-05
362,0,0,0,0,0,0,0,0,0,0,0,0,5.39E-06,2.24E-05,0,0,0,0
363,3.41E-05,2.21E-05,2.97E-05,4.24E-05,3.52E-05,2.97E-05,0.000343591,0.000171231,0.000146406,0.000143814,0.000154996,8.61E-05,0.000402276,0.00027038,0.000357632,9.80E-05,8.16E-05,0.000102326
364,0.000127658,6.92E-05,0.000128435,0.000115586,6.88E-05,9.93E-05,0.000195487,8.00E-05,8.09E-05,0.000140563,9.16E-05,7.94E-05,0.000146056,7.46E-05,0.000124194,0.000132834,9.10E-05,0.000106308
365,5.86E-05,0,3.88E-05,7.40E-05,2.68E-05,0,0.000153502,6.28E-05,9.33E-05,0.000209461,9.31E-05,0.000118357,0.000138098,7.79E-05,1.83E-06,3.88E-05,4.83E-05,6.80E-05
366,0,0,0,0,0,0,0.008918239,0.002678264,0,0.006284899,0.003598618,0.002759662,0.004009359,0.002650246,0,0.004842401,0.003694014,0.004060078
367,2.41E-06,1.65E-06,4.63E-06,7.33E-06,6.74E-06,5.55E-06,0,0,5.11E-07,6.85E-06,1.86E-06,3.90E-06,0,0,2.68E-05,0,0,0
368,0.001558555,0.001758714,0.000566154,0.000746483,0.001802275,0.002030215,0.000353417,0.000593088,0.000107335,0.000751498,0.000422802,0.000177519,0.000188617,0.000442494,6.01E-05,0.000816331,0.000740808,0.000188681
369,0.0003672,0.00030973,0.000236174,0.000218622,0.000146273,0.00032646,1.18E-05,4.44E-05,0,0.000215749,0.000427999,2.12E-05,3.34E-05,1.92E-05,6.17E-06,0.000132407,0.000145978,0
370,0.000114609,5.32E-05,0.000122816,2.67E-05,5.90E-05,0,0,0,0,0,0,0,0,0,2.90E-06,0,0,0
371,2.96E-05,3.62E-05,6.95E-05,3.65E-05,6.35E-05,7.33E-05,5.53E-05,0,6.29E-05,9.36E-05,6.34E-05,6.32E-05,6.77E-05,6.14E-05,7.67E-05,3.92E-05,6.53E-05,5.44E-05
372,3.39E-05,5.02E-05,5.27E-05,3.44E-05,2.41E-05,4.59E-05,2.81E-05,2.71E-05,2.17E-05,2.48E-05,1.94E-05,2.64E-05,2.45E-05,2.41E-05,2.30E-05,1.51E-05,2.35E-05,2.85E-05
373,6.60E-05,0.000134622,0.000137926,0.000135942,0.000102707,0.000160076,0.000195581,0.000116355,0.000103209,0.000147278,0.000134853,0.000113064,0.000142273,0.000101277,0.00013069,0.000126274,0.000120622,0.000140594
374,7.46E-05,7.85E-05,0.000101589,0.000107141,0.000126916,0.000165639,0.00020218,0.00010205,0.000105453,9.09E-05,8.03E-05,6.66E-05,0.000157468,0.000101851,0.00016545,8.23E-05,8.37E-05,5.61E-05
375,1.28E-06,2.56E-06,0,0,0,6.69E-06,0.000156459,0.000101125,4.96E-05,0.00010223,7.76E-05,6.96E-05,0.00011095,8.57E-05,2.84E-05,8.31E-05,5.02E-05,6.08E-05
376,1.40E-05,1.30E-05,1.50E-05,1.34E-05,9.73E-06,1.44E-05,2.12E-05,1.12E-05,4.05E-06,1.63E-05,1.16E-05,1.04E-05,1.57E-05,1.00E-05,7.40E-06,1.23E-05,1.11E-05,1.11E-05
377,9.70E-05,0.000153177,0.000141841,7.97E-05,8.36E-05,5.75E-05,7.27E-05,1.30E-05,0.000121197,7.54E-05,6.95E-05,5.10E-05,4.56E-05,9.89E-05,1.56E-05,4.16E-05,7.87E-05,0.000148628
378,8.43E-05,4.82E-05,4.94E-05,7.20E-05,0,5.37E-05,9.60E-05,2.39E-05,2.45E-05,1.11E-05,1.58E-05,1.99E-05,1.40E-05,0,3.93E-06,4.15E-05,9.86E-06,2.68E-05
379,0,0,0,0,0,0,1.46E-05,5.86E-06,5.78E-06,2.10E-05,1.08E-05,7.59E-06,1.21E-05,1.16E-05,0,1.02E-05,0,7.70E-06
380,7.31E-05,7.10E-05,5.65E-05,6.76E-05,4.39E-05,5.56E-05,0.000117753,6.03E-05,1.68E-05,7.58E-05,0,3.15E-05,8.42E-05,4.48E-05,6.10E-06,6.69E-05,5.93E-05,4.85E-05
381,0.001706604,0.000769461,0.001351376,0.001910597,0.019297061,0.0020209,0.004461109,0.0046953,0.001306366,0.004288796,0.002480975,0.0016418,0.002993449,0,2.05E-06,0.004819085,0.002752731,0.000400761
382,6.44E-05,0.000145378,0.000131136,3.12E-05,0.000128684,0.000148603,0.002033425,0.001585286,0.000950074,0.000153794,0.000219185,0.000158305,0.001547424,0.001310566,0.001399814,0.000208852,0.000211719,0.000108823
383,0,0,0,0,0,0,0.00010114,7.54E-05,1.78E-05,2.86E-05,4.59E-05,2.00E-05,5.65E-05,3.23E-05,0,2.20E-05,0.000100921,3.86E-05
384,0,0,0,0,0,0,0.00010114,7.54E-05,1.78E-05,2.86E-05,4.59E-05,2.00E-05,5.65E-05,3.23E-05,0,2.20E-05,0.000100921,3.86E-05
385,9.75E-06,7.63E-06,6.39E-06,8.66E-06,0.009454836,1.49E-06,6.05E-05,4.24E-05,0.000139329,2.91E-05,1.77E-05,1.02E-05,5.18E-05,3.16E-05,6.44E-05,9.74E-06,1.53E-05,1.02E-05
386,0.000218761,0.000177704,0.000245096,0.000236032,0.000145718,0.000230534,0.000293923,0.000126958,0.000144877,0.000170788,0.000137338,0.00012389,0.000195815,8.33E-05,8.46E-05,0.00014597,0.000133675,0.000174986
387,1.28E-06,2.56E-06,0,0,0,6.69E-06,0.000156459,0.000101125,4.96E-05,0.00010223,7.76E-05,6.96E-05,0.00011095,8.57E-05,2.84E-05,8.31E-05,5.02E-05,6.08E-05
388,0,0,0,0,0,0,2.61E-05,3.63E-05,5.71E-06,2.66E-05,1.76E-05,1.07E-05,2.47E-05,1.01E-05,0,4.36E-06,4.44E-06,5.14E-06
389,0,0,0,0,0,0,0.000144095,0.000258989,0.000347558,4.92E-05,0.000241251,0.000373676,0.000150456,0.000299762,0,4.11E-05,0.000171317,0.000300746
390,0,0,0,0,0,0,2.70E-05,1.41E-05,0,1.34E-05,1.29E-05,1.08E-05,1.87E-05,7.83E-06,0,1.55E-05,1.01E-05,0
391,0.000108874,0.000485386,0.002216444,0.000171626,0.000144575,0.00018259,0.000846956,0.012144419,0.000710906,0.010440635,0.000533913,0.000605184,0.003169487,0.00205066,0.000513897,0.006481196,0.000574481,0.00053375
392,0.000265085,0.000860704,0.001020805,0.001226259,0.000517439,0.000770709,0.000124075,5.14E-05,3.84E-05,7.86E-05,9.10E-05,5.81E-05,1.92E-05,1.87E-05,1.72E-05,8.66E-05,0.000106371,4.14E-05
393,3.50E-05,3.30E-05,2.77E-05,2.66E-05,1.96E-05,3.59E-05,5.13E-05,1.41E-05,2.04E-05,3.49E-05,2.41E-05,1.73E-05,3.23E-05,1.96E-05,2.86E-05,3.55E-05,2.07E-05,1.87E-05
394,0,0,0,0,0,0,0.000953652,0.000571658,0.000308855,0.000495966,0.000481198,0.000233985,0.000691325,0.000438241,0,0.000529565,0.00038514,0.000248511
395,0.000218761,0.000177704,0.000245096,0.000236032,0.000145718,0.000230534,0.000293923,0.000126958,0.000144877,0.000170788,0.000137338,0.00012389,0.000195815,8.33E-05,8.46E-05,0.00014597,0.000133675,0.000174986
396,1.57E-06,7.44E-06,4.26E-06,0,8.44E-06,0.000128507,0,4.98E-06,7.88E-07,1.96E-06,2.67E-06,6.66E-07,0,6.69E-06,2.36E-06,1.79E-06,2.28E-06,1.21E-06
397,4.45E-06,2.85E-05,3.45E-05,3.57E-05,1.14E-05,3.62E-05,8.13E-05,1.67E-05,2.84E-05,4.89E-05,2.73E-05,2.51E-05,5.51E-05,2.81E-05,3.70E-05,3.86E-05,9.19E-06,2.83E-05
398,7.13E-05,5.81E-05,6.30E-05,5.83E-05,4.90E-05,6.58E-05,8.73E-05,3.17E-05,3.53E-05,5.60E-05,3.02E-05,2.56E-05,5.77E-05,2.93E-05,3.90E-05,4.79E-05,3.58E-05,4.75E-05
399,1.75E-05,1.46E-05,1.77E-05,2.19E-05,1.39E-05,1.67E-05,0,2.13E-06,2.02E-06,1.69E-06,2.16E-06,1.74E-06,2.05E-06,0,3.95E-05,2.18E-06,1.93E-06,0
400,0.000548771,0.000166187,0.000334695,9.90E-05,0.000323081,0.000541583,0.000360367,0.007066993,0.000305303,0.003543376,0.000342373,0.000202106,0,0.014318812,1.70E-05,0.001995037,0,0.000494866
401,5.30E-05,5.91E-05,0.000144384,4.66E-05,5.29E-05,0.000133031,0,0,0,0,0,0,0,0,2.85E-05,0,0,0
402,2.32E-05,6.30E-06,1.72E-05,1.83E-05,0,3.23E-05,0.000209318,5.06E-05,9.27E-05,9.06E-05,4.57E-05,5.95E-05,0.000130876,4.20E-05,1.83E-06,9.17E-05,3.00E-05,8.37E-05
403,0.000152366,0.000153689,0.000165746,0.000141334,0.000115822,0.000154084,0.00023604,0.000112146,9.43E-05,0.000165376,0.000136605,8.64E-05,0.00017369,9.44E-05,0.000116877,0.0001555,0.000119481,0.000118478
404,0.000127594,0.0001292,0.000127175,0.00010634,0.000107213,0.000133393,0.000184289,9.38E-05,8.23E-05,0.000106214,9.21E-05,6.69E-05,0.000119748,7.46E-05,9.11E-05,0.000119102,0.000100636,8.85E-05
405,0,0.001862013,0,0,0.001525024,0.002853257,0.000864742,0.001689168,0.000709057,0.002289073,0.001584482,0.000750205,0,0.000597433,0,0.0022977,0.00076469,0.001928261
406,1.38E-05,3.24E-05,4.34E-05,3.67E-05,1.67E-05,7.31E-05,2.90E-05,2.81E-05,2.74E-05,2.17E-05,3.42E-05,3.22E-05,2.33E-05,6.18E-05,3.85E-05,1.87E-05,2.14E-05,3.33E-05
407,0.000168331,0.00014477,0.000126357,0.000151929,0.000101657,0.000154778,0.000242296,0.000122695,0.000109077,0.000175205,0.000153486,9.77E-05,0.000185567,6.34E-05,0.00010208,0.000177486,9.35E-05,0.000167494
408,0.002086475,0.002529801,0.001975764,0.001553472,0.001697473,0.00214778,0.002963633,0.002482002,0.001499817,0.002320834,0.002460283,0.001195299,0.002108549,0.001867988,0.00146929,0.000359832,0.002322318,0.001966507
409,0,0,0,0,0,0,9.65E-05,4.04E-05,5.67E-05,4.41E-05,4.67E-05,4.88E-05,4.49E-05,3.78E-05,0,4.36E-05,4.69E-05,6.86E-05
410,2.73E-06,2.11E-06,2.74E-06,5.12E-06,0,3.09E-06,2.17E-05,9.63E-06,1.47E-05,9.66E-06,5.54E-06,1.08E-05,4.62E-05,2.48E-05,4.82E-06,8.09E-06,2.79E-06,4.13E-06
411,0.000323566,0.000289963,0.00048249,0.000477471,0.000155409,0.000357234,0.000537466,0.000179399,0.000258198,0.000323733,0.000258583,0.000195651,0.000353967,0.00017188,0.000259968,0.000314837,0.000231044,0.000295628
412,0.002011117,0.002051097,0.002600712,0.001895919,0.001748758,0.002204271,0.000102765,5.15E-05,6.48E-05,7.83E-05,6.20E-05,4.71E-05,0.000243966,7.80E-05,6.85E-05,7.69E-05,5.03E-05,0.000127578
413,2.31E-05,2.41E-05,1.88E-05,0,0,2.29E-05,0,0,0,0,0,0,0,0,2.73E-05,0,0,0
414,0,0,2.39E-05,4.84E-06,0,0,2.21E-05,1.55E-05,1.06E-05,1.81E-05,3.74E-05,1.78E-05,1.11E-05,9.31E-06,0,1.55E-05,9.63E-05,1.37E-05
415,1.98E-05,6.68E-05,0.000120536,5.30E-05,6.17E-05,0.000111605,0.000100521,3.93E-05,7.99E-05,8.88E-05,2.78E-05,5.28E-05,7.34E-05,5.10E-05,0.0001094,5.68E-05,4.39E-05,0.000104534
416,9.07E-05,0.000182925,0.000223818,0.000135542,0.000145127,0.000254647,0.00078239,0.000425915,0.000830396,0.000356585,0.000684692,0.000744378,0.000510463,0.000422075,0.000944441,0.000308983,0.000537386,0.000652144
417,7.13E-05,5.81E-05,6.30E-05,5.83E-05,4.90E-05,6.58E-05,8.73E-05,3.17E-05,3.53E-05,5.60E-05,3.02E-05,2.56E-05,5.77E-05,2.93E-05,3.90E-05,4.79E-05,3.58E-05,4.75E-05
418,6.07E-05,6.08E-05,6.38E-05,7.52E-05,5.17E-05,5.75E-05,0.000183344,7.42E-05,8.25E-05,0.000151071,0.000114682,8.09E-05,0.000134245,6.07E-05,0.000103123,0.000119295,8.27E-05,0.000112578
419,1.01E-06,1.02E-06,2.03E-06,0,0,2.42E-06,5.97E-06,5.37E-06,3.29E-06,1.54E-06,2.89E-06,2.70E-06,3.35E-06,2.57E-06,0.01453116,1.08E-06,3.67E-06,5.31E-06
420,0.000396089,0.000150916,0.000396671,0.000251894,0.000151545,0.000319284,0,6.06E-05,0.000122908,0.000173523,4.92E-05,0,0.000231493,0,3.41E-05,0.000172869,5.23E-05,0
421,0.000159374,6.01E-05,5.68E-05,3.61E-05,4.27E-05,6.14E-05,0,0,0,0,0,0,0,0,6.86E-06,0,0,0
422,3.91E-06,1.22E-05,1.20E-05,3.90E-06,2.07E-06,1.43E-05,4.46E-06,2.65E-06,1.90E-06,1.93E-05,2.63E-06,1.93E-06,1.11E-05,0,1.09E-05,1.65E-05,1.11E-06,2.04E-06
423,6.59E-05,2.72E-05,5.12E-05,3.27E-05,5.75E-06,3.27E-05,0.0003906,8.42E-05,0.000107594,0.000205403,8.49E-05,5.42E-05,0.000190863,8.57E-05,0.000184065,0.000250292,0.000111678,0.000170572
424,0.000342311,0.000404066,0,0.00013034,0,0.000323244,0.000164592,0.000827584,0.000131262,0.000126314,0.000295735,0.000118397,0.000152219,7.78E-05,2.29E-05,0.000173891,7.48E-05,0.000210089
425,0,0,0,0,0,0,0.000160657,2.96E-05,9.12E-05,8.36E-06,0.00010245,7.23E-05,8.07E-05,6.25E-05,0,9.54E-06,0.000101324,0.000125365
426,0,0,0,0,0,0,1.18E-05,5.54E-06,8.68E-06,2.04E-06,1.13E-05,2.67E-06,4.14E-06,6.92E-06,0,1.85E-06,8.20E-06,4.67E-06
427,6.37E-06,2.04E-06,2.28E-06,6.47E-06,0,2.26E-06,1.35E-05,2.11E-06,3.17E-06,6.22E-06,1.65E-06,1.33E-06,7.87E-06,1.36E-06,2.43E-05,9.27E-06,2.21E-06,1.52E-06
428,1.04E-05,8.62E-06,4.81E-06,1.11E-05,1.00E-05,7.05E-06,1.98E-05,1.09E-05,6.70E-06,8.47E-06,7.65E-06,2.55E-06,1.51E-05,9.15E-06,8.28E-06,9.44E-06,6.63E-06,5.91E-06
429,0.000728867,0.001941954,0.001689634,0.000388802,0.000853107,0.000591171,0.000627764,0.000694545,0.000453565,0.000173527,5.55E-05,9.72E-05,0.001101102,0.000478404,0.000249079,0.000250959,0.001634299,0.001721352
430,0.000103594,0.000100977,0.000143836,8.87E-05,5.24E-05,0.000121206,0.000141996,4.74E-05,2.96E-05,9.79E-05,8.13E-05,6.79E-05,9.04E-05,3.23E-05,9.61E-05,9.21E-05,6.09E-05,9.78E-05
431,0.000157019,0.000183371,0.000209927,0.000157305,0.000158583,0.000209269,0.000221023,0.000119192,7.87E-05,9.76E-05,0.000130083,7.78E-05,6.63E-05,7.84E-05,6.47E-05,0.000139201,0.000193215,8.59E-05
432,8.98E-06,0,0,0,0,0,2.60E-05,8.64E-06,1.52E-05,1.70E-05,1.07E-05,1.24E-05,1.29E-05,6.71E-06,2.87E-05,1.51E-05,9.15E-06,1.78E-05
433,1.29E-05,3.86E-05,9.10E-06,1.02E-05,5.05E-06,3.56E-05,4.32E-05,7.88E-06,3.20E-05,2.20E-05,2.67E-05,1.73E-05,9.16E-06,1.84E-05,2.68E-05,2.20E-05,1.43E-05,7.18E-06
434,6.81E-05,5.93E-05,8.12E-05,5.87E-05,4.16E-05,7.03E-05,0.000117019,6.07E-05,6.60E-05,7.46E-05,5.93E-05,5.30E-05,6.88E-05,5.32E-05,6.99E-05,7.57E-05,5.78E-05,8.48E-05
435,0.000376545,0.000299388,0.000302239,0.00029619,0.000291699,0.000401712,0.000590537,0.000249712,0.000234586,0.000427151,0.000229591,0.000223976,0.000444709,0.000184559,0.000255092,0.000378758,0.000276539,0.000276392
436,8.46E-06,4.48E-06,5.80E-06,4.67E-06,0,1.04E-05,9.98E-06,2.49E-06,7.74E-06,6.61E-06,2.98E-06,4.24E-06,1.07E-05,4.44E-06,9.86E-05,9.17E-06,3.81E-06,8.06E-06
437,2.66E-05,3.40E-05,5.00E-05,2.36E-05,2.41E-05,5.46E-05,3.56E-05,2.32E-05,3.30E-05,2.25E-05,2.62E-05,3.00E-05,2.75E-05,2.21E-05,4.75E-05,2.08E-05,2.29E-05,3.95E-05
438,0.002305913,0.005421242,0.005085044,0.001746943,0.006607606,0.005370377,0,0.004890224,0.003680878,0.002798278,0.007428733,0.00323942,0.002193864,0.001303179,6.20E-06,0.002061115,0.006534688,0.005621513
439,0.000121631,6.76E-05,6.23E-05,0.000123284,9.51E-05,0.000144671,0.000130862,5.41E-05,3.10E-05,6.67E-05,4.86E-05,2.53E-05,8.76E-05,3.96E-05,3.67E-05,7.97E-05,4.76E-05,4.77E-05
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,7.40E-06,6.27E-06,6.76E-06,7.65E-06,4.42E-06,5.27E-06,1.30E-05,5.37E-06,4.78E-06,5.48E-06,6.26E-06,4.30E-06,4.24E-06,4.69E-06,6.69E-06,8.09E-06,5.57E-06,5.92E-06
442,1.42E-05,2.62E-06,3.74E-06,1.54E-05,3.62E-06,4.37E-06,2.99E-05,7.39E-06,1.11E-05,2.93E-05,9.01E-06,1.98E-05,2.92E-05,7.70E-06,2.15E-05,1.63E-05,3.76E-06,7.21E-06
443,0,7.20E-07,0,1.05E-06,0,1.13E-06,1.68E-05,6.21E-06,3.98E-06,1.70E-06,4.76E-06,0,1.10E-05,1.61E-06,0,0,0,0
444,3.38E-05,3.16E-05,3.26E-05,2.92E-05,2.66E-05,4.28E-05,7.26E-05,4.18E-05,4.32E-05,4.41E-05,4.76E-05,3.51E-05,4.60E-05,3.74E-05,5.58E-05,4.60E-05,4.03E-05,4.83E-05
445,0.001271278,0.001800594,0.001393818,0.00131502,0.001317006,0.001648403,0.004835356,0.002593728,0.002882844,0.003138386,0.003405502,0.002343428,0.003612126,0.001925571,0.003717235,0.002290027,0.002866009,0.004160537
446,4.50E-05,4.94E-05,5.19E-05,4.14E-05,3.36E-05,5.56E-05,6.45E-05,3.64E-05,3.19E-05,3.93E-05,3.98E-05,2.45E-05,3.91E-05,2.98E-05,2.83E-05,3.88E-05,3.42E-05,3.76E-05
447,0.000290882,0.000271599,0.000230405,0.000285731,0.000164934,0.000230091,0.001198918,0.000370764,0.00052806,0.00073021,0.000648439,0.000468646,0.000661773,0.00059777,0.000580184,0.000792207,0.000572659,0.000680582
448,2.29E-05,2.08E-05,3.67E-05,1.40E-05,1.11E-05,3.99E-05,6.38E-05,2.43E-05,3.51E-05,3.12E-05,3.10E-05,2.62E-05,3.94E-05,2.79E-05,4.83E-05,3.40E-05,3.94E-05,4.95E-05
449,5.73E-06,2.24E-06,3.31E-06,1.82E-05,1.84E-05,2.16E-05,3.69E-05,1.92E-05,1.55E-05,2.82E-06,2.36E-06,1.11E-06,2.52E-05,1.64E-05,2.22E-05,4.35E-06,1.21E-06,1.71E-06
450,7.48E-06,7.10E-06,1.09E-05,6.82E-06,4.93E-06,6.03E-06,1.65E-05,0,6.72E-06,1.07E-05,5.65E-06,4.78E-06,1.02E-05,0,2.04E-06,6.14E-06,5.21E-06,7.33E-06
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,0.000220005,0.00019146,0.000702244,0.000254407,0.000155102,0.000412074,0.000937987,0.010697139,0.000473218,0.006474249,0.000499114,0.000555854,0.002563177,0.004207444,0.000259198,0.005403736,0.000659134,0.000534669
453,0.000886412,0.001077074,0.001447265,0.001103745,0,0.001721557,0.003243864,0.00127254,0.00145932,0.002032472,0.001875304,0.001104751,0.001640154,0.001299764,2.04E-06,0.001994907,0.001657833,0.001953586
